iter	Passed	Remaining
0	138	138210
1	140	70254
2	144	48096
3	146	36509
4	148	29605
5	151	25055
6	153	21716
7	155	19235
8	157	17305
9	160	15841
10	163	14676
11	165	13639
12	168	12767
13	170	12004
14	174	11445
15	176	10843
16	178	10324
17	180	9865
18	182	9432
19	184	9062
20	187	8722
21	189	8434
22	192	8159
23	193	7878
24	195	7606
25	196	7357
26	197	7128
27	199	6912
28	200	6712
29	201	6530
30	203	6350
31	204	6178
32	205	6015
33	206	5860
34	207	5708
35	207	5567
36	208	5434
37	209	5306
38	210	5182
39	210	5063
40	211	4950
41	212	4843
42	213	4742
43	213	4642
44	214	4552
45	215	4461
46	215	4373
47	216	4290
48	216	4210
49	217	4132
50	218	4058
51	218	3987
52	219	3920
53	220	3856
54	220	3793
55	221	3730
56	221	3669
57	222	3610
58	222	3553
59	223	3499
60	223	3444
61	224	3393
62	224	3343
63	225	3294
64	225	3249
65	226	3205
66	227	3161
67	227	3118
68	227	3076
69	228	3035
70	228	2994
71	229	2956
72	229	2918
73	230	2880
74	230	2845
75	231	2810
76	231	2775
77	232	2742
78	232	2710
79	232	2679
80	233	2648
81	233	2618
82	234	2586
83	234	2557
84	235	2529
85	235	2502
86	235	2476
87	236	2450
88	236	2424
89	237	2400
90	237	2376
91	238	2354
92	239	2331
93	239	2308
94	239	2285
95	240	2263
96	240	2242
97	241	2221
98	241	2200
99	242	2180
100	242	2160
101	243	2140
102	243	2121
103	244	2103
104	244	2086
105	245	2068
106	245	2051
107	246	2034
108	246	2017
109	247	2000
110	247	1983
111	248	1967
112	248	1951
113	249	1935
114	249	1919
115	249	1904
116	250	1889
117	250	1875
118	251	1861
119	251	1847
120	252	1833
121	252	1819
122	253	1805
123	253	1792
124	254	1779
125	254	1766
126	255	1753
127	256	1744
128	256	1732
129	257	1721
130	257	1710
131	258	1698
132	258	1687
133	259	1675
134	259	1664
135	260	1653
136	260	1642
137	261	1632
138	261	1621
139	262	1611
140	263	1604
141	263	1594
142	264	1585
143	265	1575
144	265	1566
145	266	1556
146	266	1547
147	267	1537
148	267	1528
149	268	1519
150	268	1510
151	269	1501
152	269	1493
153	270	1484
154	271	1477
155	271	1469
156	272	1461
157	272	1453
158	273	1445
159	273	1436
160	274	1427
161	274	1420
162	275	1412
163	275	1405
164	276	1398
165	277	1391
166	277	1384
167	277	1376
168	278	1370
169	279	1363
170	279	1356
171	280	1350
172	281	1343
173	281	1336
174	282	1330
175	282	1323
176	283	1318
177	284	1311
178	284	1305
179	285	1298
180	285	1292
181	286	1286
182	286	1280
183	287	1275
184	288	1269
185	288	1264
186	289	1258
187	290	1253
188	290	1247
189	291	1241
190	291	1235
191	292	1230
192	292	1224
193	293	1219
194	294	1215
195	294	1210
196	295	1204
197	296	1199
198	297	1197
199	298	1193
200	298	1188
201	299	1183
202	299	1177
203	300	1173
204	301	1169
205	302	1166
206	303	1160
207	303	1155
208	304	1150
209	304	1145
210	305	1141
211	305	1137
212	306	1132
213	307	1127
214	307	1123
215	308	1119
216	309	1115
217	309	1111
218	310	1106
219	310	1101
220	311	1097
221	311	1092
222	312	1088
223	312	1083
224	313	1079
225	313	1074
226	314	1070
227	314	1066
228	315	1062
229	315	1057
230	316	1053
231	316	1048
232	317	1044
233	317	1040
234	318	1036
235	318	1032
236	319	1027
237	319	1024
238	320	1020
239	320	1016
240	321	1012
241	321	1008
242	322	1004
243	322	1000
244	323	996
245	323	992
246	324	988
247	324	984
248	325	980
249	325	977
250	326	973
251	327	970
252	327	967
253	328	964
254	328	960
255	329	956
256	329	953
257	330	949
258	330	945
259	331	942
260	331	938
261	332	935
262	332	932
263	333	928
264	333	925
265	334	922
266	334	919
267	335	916
268	335	912
269	336	909
270	336	905
271	337	902
272	337	899
273	338	896
274	338	893
275	339	890
276	340	887
277	340	884
278	341	881
279	341	878
280	341	875
281	342	871
282	342	868
283	343	865
284	343	862
285	344	860
286	345	857
287	345	855
288	346	852
289	347	849
290	347	846
291	347	843
292	348	840
293	348	837
294	349	834
295	349	832
296	350	829
297	350	826
298	351	824
299	352	821
300	352	819
301	353	816
302	353	813
303	354	811
304	354	808
305	355	805
306	355	803
307	356	800
308	356	797
309	357	795
310	357	793
311	358	790
312	359	788
313	359	785
314	360	783
315	360	780
316	361	777
317	361	775
318	362	773
319	362	770
320	363	767
321	363	765
322	364	763
323	365	761
324	365	759
325	366	757
326	366	754
327	367	752
328	367	749
329	368	747
330	368	745
331	369	743
332	370	741
333	370	739
334	371	736
335	371	734
336	372	733
337	373	730
338	373	728
339	374	726
340	374	723
341	375	721
342	375	719
343	376	717
344	376	715
345	377	713
346	377	711
347	378	708
348	378	706
349	379	704
350	379	702
351	380	700
352	380	698
353	381	695
354	381	693
355	382	691
356	383	690
357	383	688
358	384	686
359	384	684
360	385	682
361	385	679
362	386	677
363	386	675
364	387	673
365	387	671
366	388	669
367	388	667
368	389	666
369	390	664
370	391	662
371	391	660
372	391	658
373	392	656
374	392	654
375	393	652
376	393	650
377	394	648
378	394	646
379	395	644
380	396	643
381	396	642
382	397	640
383	397	638
384	398	636
385	398	634
386	399	632
387	399	630
388	400	628
389	400	626
